"date","ASIANPAINT.NS.Adjusted"
2023-06-23,3254.828125
2023-06-26,3265.14233398438
2023-06-27,3282.76025390625
2023-06-28,3304.72094726562
2023-06-30,3318.341796875
2023-07-03,3315.03515625
2023-07-04,3304.17822265625
2023-07-05,3330.53100585938
2023-07-06,3355.2060546875
2023-07-07,3300.23022460938
2023-07-10,3299.68725585938
2023-07-11,3348.44506835938
2023-07-12,3362.46069335938
2023-07-13,3354.36743164062
2023-07-14,3385.16137695312
2023-07-17,3415.41284179688
2023-07-18,3467.77319335938
2023-07-19,3468.95776367188
2023-07-20,3480.16015625
2023-07-21,3471.96801757812
2023-07-24,3497.63012695312
2023-07-25,3356.19311523438
2023-07-26,3329.1494140625
2023-07-27,3325.59619140625
2023-07-28,3346.619140625
2023-07-31,3333.44311523438
2023-08-01,3299.48999023438
2023-08-02,3319.1806640625
2023-08-03,3292.97583007812
2023-08-04,3296.23291015625
2023-08-07,3299.53930664062
2023-08-08,3304.52392578125
2023-08-09,3287.6953125
2023-08-10,3195.80541992188
2023-08-11,3143.93896484375
2023-08-14,3160.96459960938
2023-08-16,3152.52587890625
2023-08-17,3141.86645507812
2023-08-18,3122.42236328125
2023-08-21,3140.92846679688
2023-08-22,3138.3623046875
2023-08-23,3127.60424804688
2023-08-24,3183.66552734375
2023-08-25,3216.92749023438
2023-08-28,3217.322265625
2023-08-29,3242.98413085938
2023-08-30,3251.8671875
2023-08-31,3213.76928710938
2023-09-01,3217.17431640625
2023-09-04,3193.486328125
2023-09-05,3181.39575195312
2023-09-06,3183.36938476562
2023-09-07,3204.14599609375
2023-09-08,3195.95385742188
2023-09-11,3217.02612304688
2023-09-12,3214.50952148438
2023-09-13,3235.1376953125
2023-09-14,3198.12524414062
2023-09-15,3155.09204101562
2023-09-18,3164.61669921875
2023-09-20,3172.56201171875
2023-09-21,3202.02368164062
2023-09-22,3232.275390625
2023-09-25,3280.0458984375
2023-09-26,3249.99194335938
2023-09-27,3258.875
2023-09-28,3129.13403320312
2023-09-29,3119.95483398438
2023-10-03,3125.67944335938
2023-10-04,3128.68969726562
2023-10-05,3164.56713867188
2023-10-06,3154.20361328125
2023-10-09,3111.81225585938
2023-10-10,3110.52905273438
2023-10-11,3122.767578125
2023-10-12,3118.03002929688
2023-10-13,3107.86401367188
2023-10-16,3071.591796875
2023-10-17,3073.072265625
2023-10-18,3056.19458007812
2023-10-19,3061.47509765625
2023-10-20,3065.47265625
2023-10-23,3032.06225585938
2023-10-25,3021.00805664062
2023-10-26,2921.81494140625
2023-10-27,2916.7314453125
2023-10-30,2928.5263671875
2023-10-31,2956.75439453125
2023-11-01,2896.3994140625
2023-11-02,2916.97802734375
2023-11-03,2944.26733398438
2023-11-06,2995.13696289062
2023-11-07,2999.14135742188
2023-11-08,3060.34326171875
2023-11-09,3045.46264648438
2023-11-10,3041.75512695312
2023-11-13,3050.80200195312
2023-11-15,3081.05688476562
2023-11-16,3094.998046875
2023-11-17,3133.16259765625
2023-11-20,3104.9345703125
2023-11-21,3097.91455078125
2023-11-22,3097.66748046875
2023-11-23,3087.73071289062
2023-11-24,3100.78173828125
2023-11-28,3112.84423828125
2023-11-29,3112.84423828125
2023-11-30,3084.71508789062
2023-12-01,3137.61157226562
2023-12-04,3158.5234375
2023-12-05,3189.86596679688
2023-12-06,3215.869140625
2023-12-07,3215.12768554688
2023-12-08,3195.55102539062
2023-12-11,3196.53979492188
2023-12-12,3188.3828125
2023-12-13,3207.06958007812
2023-12-14,3204.79565429688
2023-12-15,3276.52709960938
2023-12-18,3294.47265625
2023-12-19,3298.42749023438
2023-12-20,3259.96606445312
2023-12-21,3265.70068359375
2023-12-22,3303.61840820312
2023-12-26,3345.19409179688
2023-12-27,3366.05615234375
2023-12-28,3358.9375
2023-12-29,3364.029296875
2024-01-01,3357.80053710938
2024-01-02,3353.10400390625
2024-01-03,3335.55419921875
2024-01-04,3341.83251953125
2024-01-05,3317.70776367188
2024-01-08,3261.2021484375
2024-01-09,3230.65063476562
2024-01-10,3249.78247070312
2024-01-11,3251.1171875
2024-01-12,3240.83447265625
2024-01-15,3236.97827148438
2024-01-16,3259.71899414062
2024-01-17,3205.73486328125
2024-01-18,3128.16967773438
2024-01-19,3130.14721679688
2024-01-23,3020.25024414062
2024-01-24,2965.62353515625
2024-01-25,2915.94018554688
2024-01-29,2942.4873046875
2024-01-30,2920.78515625
2024-01-31,2924.49291992188
2024-02-01,2896.31420898438
2024-02-02,2903.18579101562
2024-02-05,2884.44946289062
2024-02-06,2897.89599609375
2024-02-07,2947.52978515625
2024-02-08,2896.5615234375
2024-02-09,2918.36254882812
2024-02-12,2920.48852539062
2024-02-13,2938.08764648438
2024-02-14,2942.83349609375
2024-02-15,2982.53076171875
2024-02-16,2973.97802734375
2024-02-19,2964.28881835938
2024-02-20,2977.68579101562
2024-02-21,2967.947265625
2024-02-22,2983.37084960938
2024-02-23,2952.27587890625
2024-02-26,2836.10083007812
2024-02-27,2827.30126953125
2024-02-28,2762.83666992188
2024-02-29,2790.07568359375
2024-03-01,2799.81469726562
2024-03-04,2799.81469726562
2024-03-05,2788.5927734375
2024-03-06,2795.4150390625
2024-03-07,2838.17724609375
2024-03-11,2844.40625
2024-03-12,2843.71411132812
2024-03-13,2827.89453125
2024-03-14,2859.63256835938
2024-03-15,2835.21118164062
2024-03-18,2814.3984375
